USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
kamalbush         3584   0.0  0.3 411103296  22688   ??  Ss    8:05AM   0:00.94 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
kamalbush         3574   0.0  0.1 411388016   7168   ??  Ss    8:05AM   0:00.56 /Applications/Xcode.app/Contents/SharedFrameworks/SourceKit.framework/Versions/A/XPCServices/com.apple.dt.SKAgent.xpc/Contents/MacOS/com.apple.dt.SKAgent
kamalbush         3557   0.0  0.0 410655552   2032   ??  Ss    8:04AM   0:00.03 /Applications/Xcode.app/Contents/PlugIns/GPUDebugger.ideplugin/Contents/Frameworks/GPUToolsTransportAgents.framework/Versions/A/XPCServices/GPUToolsAgentService.xpc/Contents/MacOS/GPUToolsAgentService
kamalbush         3556   0.0  0.1 426966400   4208   ??  S     8:04AM   0:00.08 /usr/libexec/gputoolsserviced
kamalbush         3555   0.0  0.0 410631616   1840   ??  Ss    8:04AM   0:00.01 /Applications/Xcode.app/Contents/PlugIns/GPUDebugger.ideplugin/Contents/Frameworks/GPUToolsTransportAgents.framework/Versions/A/XPCServices/GPUToolsCompatService.xpc/Contents/MacOS/GPUToolsCompatService
kamalbush         3552   0.0  0.1 410704480   5184   ??  S     8:03AM   0:00.10 /Library/Apple/System/Library/PrivateFrameworks/RemotePairing.framework/Versions/A/XPCServices/remotepairingd.xpc/Contents/MacOS/remotepairingd
kamalbush         3551   0.0  0.0 410979424   2880   ??  S     8:03AM   0:00.05 /Library/Developer/PrivateFrameworks/CoreDevice.framework/Versions/A/XPCServices/CoreDeviceService.xpc/Contents/MacOS/CoreDeviceService
kamalbush         3547   0.0  1.2 418833456 103488   ??  S     8:03AM   0:38.62 /Applications/Xcode.app/Contents/MacOS/Xcode
kamalbush         3545   0.0  0.1 410845952   6704   ??  S     8:03AM   0:00.16 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline
root              3541   0.0  0.0 410828528   2336   ??  Ss    8:03AM   0:00.05 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Resources/bin/simdiskimaged
kamalbush         3538   0.0  0.1 410979760   6816   ??  S     8:03AM   0:00.27 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
kamalbush         3348   0.0  0.0 426962192   4000   ??  S     8:03AM   0:00.09 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
kamalbush         3279   0.0  0.1 426951344   6944   ??  S     8:03AM   0:01.57 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
root              3277   0.0  0.1 426955392   5328   ??  Ss    8:03AM   0:01.17 /usr/libexec/storagekitd
root              3268   0.0  0.0 411489584   2480   ??  Ss    8:03AM   0:00.25 /Library/Developer/PrivateFrameworks/CoreDevice.framework/Resources/bin/CoreDeviceDDIUpdaterService
root              3267   0.0  0.1 410704464   5120   ??  S     8:03AM   0:00.11 /Library/Apple/System/Library/PrivateFrameworks/RemotePairing.framework/Versions/A/XPCServices/remotepairingd.xpc/Contents/MacOS/remotepairingd
kamalbush         3226   0.0  0.1 427121632  11824   ??  S     8:03AM   0:00.43 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
_usbmuxd          3217   0.0  0.0 426960768   2448   ??  Ss    8:03AM   0:00.14 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
root              3143   0.0  0.1 426964016   6080   ??  Ss    8:03AM   0:00.43 /usr/sbin/systemsoundserverd
root              3126   0.0  0.0 426917744   1920   ??  Ss    8:03AM   0:00.13 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
root              3122   0.0  0.0 426916352   1568   ??  Ss    8:03AM   0:00.49 /usr/libexec/sysmond
root              3121   0.0  0.1 426950352   5520   ??  Ss    8:03AM   0:11.32 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
root              3116   0.0  0.1 426950464  10016   ??  Ss    8:03AM   0:01.41 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
